Id;Name;Number;Description;Street;City;State;ZipCode;Country;PhoneNumber;FaxNumber;EmailAddress;Website;WhatsApp;LinkedIn;Facebook;Instagram;TwitterX;TikTok;CustomerGroupId;CustomerCategoryId;IsDeleted;CreatedAtUtc;CreatedById;UpdatedAtUtc;UpdatedById
1682bf17-d742-4e15-bb99-b2aa03fbef96;Grandeur LLC;001820250324CST;;Main St;New York;TX;60601;;555-5678;;grandeur@sample.com;;;;;;;;4cf579bf-bfa6-4c15-b339-b2aa03fbef7c;c35d8c8c-d52d-47e3-b6d1-b2aa03fbef6e;False;2025-03-24 18:34:02;;;
1f407fb8-e0da-4c34-bb21-b2aa03fbef96;Citadel LLC;000120250324CST;;Main St;Chicago;TX;94101;;555-4321;;citadel@test.com;;;;;;;;51be2dd7-1f6c-4dbe-8dba-b2aa03fbef7c;d558db62-aac7-4a78-b072-b2aa03fbef6e;False;2025-03-24 18:34:02;;;
34a1d92c-892f-4c91-834c-b2aa03fbef96;Prosperity LLC;001220250324CST;;Main St;Chicago;TX;10001;;555-5678;;prosperity@sample.com;;;;;;;;f8686604-77dd-494f-a6c2-b2aa03fbef7c;c35d8c8c-d52d-47e3-b6d1-b2aa03fbef6e;False;2025-03-24 18:34:02;;;
383e75a5-9364-4deb-8e99-b2aa03fbef96;Ironclad LLC;000220250324CST;;Main St;New York;IL;10001;;555-5678;;ironclad@test.com;;;;;;;;4cf579bf-bfa6-4c15-b339-b2aa03fbef7c;88b7770b-62e7-462f-8c67-b2aa03fbef6e;False;2025-03-24 18:34:02;;;
5ffbbab0-28db-48c5-b8ea-b2aa03fbef96;Serenity LLC;001620250324CST;;Main St;New York;CA;10001;;555-5678;;serenity@demo.com;;;;;;;;4cf579bf-bfa6-4c15-b339-b2aa03fbef7c;d558db62-aac7-4a78-b072-b2aa03fbef6e;False;2025-03-24 18:34:02;;;
64e21eb2-bb24-4583-bca9-b2aa03fbef96;Luxe LLC;001520250324CST;;Elm St;Los Angeles;TX;90001;;555-5678;;luxe@example.com;;;;;;;;240c1baa-9e61-4511-992a-b2aa03fbef7c;b16d2da3-66a9-43e1-a8cd-b2aa03fbef6e;False;2025-03-24 18:34:02;;;
77d66439-6e30-45af-ad5f-b2aa03fbef96;Statewide LLC;000820250324CST;;Market St;Los Angeles;TX;94101;;555-5678;;statewide@test.com;;;;;;;;51be2dd7-1f6c-4dbe-8dba-b2aa03fbef7c;c35d8c8c-d52d-47e3-b6d1-b2aa03fbef6e;False;2025-03-24 18:34:02;;;
85946162-de2b-4a8a-8c4e-b2aa03fbef96;Bright LLC;001920250324CST;;Elm St;New York;TX;60601;;555-1234;;bright@demo.com;;;;;;;;4cf579bf-bfa6-4c15-b339-b2aa03fbef7c;b16d2da3-66a9-43e1-a8cd-b2aa03fbef6e;False;2025-03-24 18:34:02;;;
8da71739-d9c6-43a0-8224-b2aa03fbef96;Sunset LLC;001420250324CST;;Elm St;San Francisco;NY;60601;;555-8765;;sunset@example.com;;;;;;;;240c1baa-9e61-4511-992a-b2aa03fbef7c;d558db62-aac7-4a78-b072-b2aa03fbef6e;False;2025-03-24 18:34:02;;;
8ea3a51c-8f9a-444a-adba-b2aa03fbef96;Shield LLC;000420250324CST;;Main St;San Francisco;TX;94101;;555-4321;;shield@example.com;;;;;;;;9c77fd2b-8976-4796-a167-b2aa03fbef7c;3c2b42ab-3d61-4480-8b81-b2aa03fbef6e;False;2025-03-24 18:34:02;;;
8f1bd5e1-ce70-457d-a3a9-b2aa03fbef96;Unity LLC;001120250324CST;;Elm St;Los Angeles;TX;90001;;555-1234;;unity@example.com;;;;;;;;89a3eb1f-517f-498f-8dc3-b2aa03fbef7c;3c2b42ab-3d61-4480-8b81-b2aa03fbef6e;False;2025-03-24 18:34:02;;;
973f8386-7119-4939-a65b-b2aa03fbef96;Stellar LLC;002020250324CST;;Main St;Chicago;CA;94101;;555-5678;;stellar@demo.com;;;;;;;;89a3eb1f-517f-498f-8dc3-b2aa03fbef7c;d558db62-aac7-4a78-b072-b2aa03fbef6e;False;2025-03-24 18:34:02;;;
9baaf0aa-77b7-438d-94d6-b2aa03fbef96;Hope LLC;001020250324CST;;Main St;San Francisco;CA;94101;;555-4321;;hope@test.com;;;;;;;;f8686604-77dd-494f-a6c2-b2aa03fbef7c;3c2b42ab-3d61-4480-8b81-b2aa03fbef6e;False;2025-03-24 18:34:02;;;
aadf904b-867e-4fc1-a5ef-b2aa03fbef96;Alpha LLC;000520250324CST;;Elm St;Los Angeles;IL;60601;;555-8765;;alpha@sample.com;;;;;;;;51be2dd7-1f6c-4dbe-8dba-b2aa03fbef7c;b16d2da3-66a9-43e1-a8cd-b2aa03fbef6e;False;2025-03-24 18:34:02;;;
ba2651e9-3393-4a23-b29b-b2aa03fbef96;Harmony LLC;000920250324CST;;Market St;Chicago;IL;94101;;555-8765;;harmony@sample.com;;;;;;;;4cf579bf-bfa6-4c15-b339-b2aa03fbef7c;88b7770b-62e7-462f-8c67-b2aa03fbef6e;False;2025-03-24 18:34:02;;;
be7e8379-73dd-4a6d-a0fc-b2aa03fbef96;Armada LLC;000320250324CST;;Main St;New York;IL;60601;;555-5678;;armada@sample.com;;;;;;;;f8686604-77dd-494f-a6c2-b2aa03fbef7c;3c2b42ab-3d61-4480-8b81-b2aa03fbef6e;False;2025-03-24 18:34:02;;;
d2fe39c6-2662-404e-8661-b2aa03fbef96;Global LLC;001320250324CST;;Main St;San Francisco;NY;60601;;555-5678;;global@example.com;;;;;;;;f8686604-77dd-494f-a6c2-b2aa03fbef7c;b16d2da3-66a9-43e1-a8cd-b2aa03fbef6e;False;2025-03-24 18:34:02;;;
de12914f-1419-4999-8e39-b2aa03fbef96;Federal LLC;000720250324CST;;Market St;Chicago;NY;10001;;555-1234;;federal@sample.com;;;;;;;;9c77fd2b-8976-4796-a167-b2aa03fbef7c;3c2b42ab-3d61-4480-8b81-b2aa03fbef6e;False;2025-03-24 18:34:02;;;
e7b22ab4-997e-4500-a9b6-b2aa03fbef96;Oasis LLC;001720250324CST;;Market St;New York;IL;90001;;555-4321;;oasis@demo.com;;;;;;;;89a3eb1f-517f-498f-8dc3-b2aa03fbef7c;3c2b42ab-3d61-4480-8b81-b2aa03fbef6e;False;2025-03-24 18:34:02;;;
f4548d75-cac1-40c7-827f-b2aa03fbef96;Capitol LLC;000620250324CST;;Market St;San Francisco;CA;94101;;555-1234;;capitol@demo.com;;;;;;;;51be2dd7-1f6c-4dbe-8dba-b2aa03fbef7c;3c2b42ab-3d61-4480-8b81-b2aa03fbef6e;False;2025-03-24 18:34:02;;;
