Id;Number;Title;Description;BudgetDate;Status;Amount;CampaignId;IsDeleted;CreatedAtUtc;CreatedById;UpdatedAtUtc;UpdatedById
00044418-4b10-47e0-aa8b-b2aa03fc0239;006820250324BUD;Budget for avril 2024;Description for budget on avril 2024;2024-04-15 00:00:00;2;770000;f70ece64-ca24-4c67-b019-b2aa03fc009b;False;2025-03-24 18:34:07;;;
00665c53-1a29-458b-828e-b2aa03fc03da;017820250324BUD;Budget for juin 2024;Description for budget on juin 2024;2024-06-17 00:00:00;2;20000;ec0ebda0-a35f-48c9-895f-b2aa03fc00ac;False;2025-03-24 18:34:07;;;
00d30494-b728-4522-b22b-b2aa03fc0838;044420250324BUD;Budget for octobre 2024;Description for budget on octobre 2024;2024-10-31 00:00:00;2;790000;f36145ff-1377-4a09-b67c-b2aa03fc00a0;False;2025-03-24 18:34:08;;;
01aa58a6-cfeb-4d67-b9d9-b2aa03fc099a;051020250324BUD;Budget for novembre 2024;Description for budget on novembre 2024;2024-11-29 00:00:00;1;120000;f7ec66a8-0262-4c7f-b8e5-b2aa03fc008d;False;2025-03-24 18:34:09;;;
01d23bd0-8594-40de-bf7e-b2aa03fc098f;050820250324BUD;Budget for novembre 2024;Description for budget on novembre 2024;2024-11-07 00:00:00;0;520000;f70ece64-ca24-4c67-b019-b2aa03fc009b;False;2025-03-24 18:34:09;;;
01e68023-9b3f-4e30-9af9-b2aa03fc0d47;073620250324BUD;Budget for mars 2025;Description for budget on mars 2025;2025-03-25 00:00:00;0;520000;8670ed91-00ec-4e90-8d06-b2aa03fc00e6;False;2025-03-24 18:34:10;;;
01f37760-c8e1-48d8-bfad-b2aa03fc0356;015420250324BUD;Budget for juin 2024;Description for budget on juin 2024;2024-06-03 00:00:00;2;100000;8de6a113-8227-4bde-9091-b2aa03fc00ea;False;2025-03-24 18:34:07;;;
02978c56-f7eb-48c7-9e89-b2aa03fc0dba;076320250324BUD;Budget for mars 2025;Description for budget on mars 2025;2025-03-07 00:00:00;2;40000;ec3f98eb-2acd-41b9-acbd-b2aa03fc0065;False;2025-03-24 18:34:10;;;
02f40d4b-d186-4822-8966-b2aa03fc0989;050720250324BUD;Budget for novembre 2024;Description for budget on novembre 2024;2024-11-11 00:00:00;0;220000;f70ece64-ca24-4c67-b019-b2aa03fc009b;False;2025-03-24 18:34:09;;;
03acba4d-d12c-4d2c-a287-b2aa03fc0928;048920250324BUD;Budget for novembre 2024;Description for budget on novembre 2024;2024-11-27 00:00:00;2;380000;cf78bc37-19c1-4b6a-8ec6-b2aa03fc00ee;False;2025-03-24 18:34:09;;;
03e5d641-1507-4418-901d-b2aa03fc03b2;017120250324BUD;Budget for juin 2024;Description for budget on juin 2024;2024-06-29 00:00:00;1;700000;e5120cd5-9160-464e-b38f-b2aa03fc0089;False;2025-03-24 18:34:07;;;
