Id;Name;Number;Description;Street;City;State;ZipCode;Country;PhoneNumber;FaxNumber;EmailAddress;Website;WhatsApp;LinkedIn;Facebook;Instagram;TwitterX;TikTok;VendorGroupId;VendorCategoryId;IsDeleted;CreatedAtUtc;CreatedById;UpdatedAtUtc;UpdatedById
1fdbc8ad-121e-4b02-97e6-b2aa03fbf0b5;Infinity Holdings;001920250324VND;;Main Street;San Francisco;NY;73301;;987-654-3210;;vendor1@example.com;;;;;;;;a0c28c17-d127-44c4-827d-b2aa03fbf09b;4a1f8402-2afd-4c15-a72d-b2aa03fbf08a;False;2025-03-24 18:34:02;;;
33581b5e-9e08-41d3-8aa4-b2aa03fbf0b5;Vanguard Industries;001120250324VND;;Elm Street;Los Angeles;CA;60601;;555-123-4567;;vendor2@example.com;;;;;;;;a0c28c17-d127-44c4-827d-b2aa03fbf09b;cadf8cc4-89e6-4cd6-a0bd-b2aa03fbf08a;False;2025-03-24 18:34:02;;;
424345d3-8446-462d-af05-b2aa03fbf0b5;Empyrean Ventures;001220250324VND;;Maple Avenue;Chicago;NY;90001;;123-456-7890;;vendor4@example.com;;;;;;;;957feeac-10a8-4c6b-84bf-b2aa03fbf09b;d5063932-1277-43a4-b644-b2aa03fbf08a;False;2025-03-24 18:34:02;;;
440f4437-5c32-477c-a8dc-b2aa03fbf0b5;Equinox Enterprises;001420250324VND;;Elm Street;Chicago;NY;10001;;987-654-3210;;vendor1@example.com;;;;;;;;a0c28c17-d127-44c4-827d-b2aa03fbf09b;9c42c566-a314-491b-b82d-b2aa03fbf08a;False;2025-03-24 18:34:02;;;
496a34ba-82d1-4670-a82b-b2aa03fbf0b5;Sovereign Solutions;001620250324VND;;Maple Avenue;San Francisco;TX;90001;;123-456-7890;;vendor4@example.com;;;;;;;;748edc70-1c4c-49d3-9cf6-b2aa03fbf09b;5bd75420-7b26-4d60-9358-b2aa03fbf08a;False;2025-03-24 18:34:02;;;
4e15dd7e-b03b-4fab-aed7-b2aa03fbf0b5;Prime Solutions;000820250324VND;;Elm Street;New York;CA;60601;;111-222-3333;;vendor4@example.com;;;;;;;;4c3edef6-2bf8-401b-848a-b2aa03fbf09b;cadf8cc4-89e6-4cd6-a0bd-b2aa03fbf08a;False;2025-03-24 18:34:02;;;
4e5fb757-0335-43ad-8ddd-b2aa03fbf0b5;Aurora Holdings;001020250324VND;;Maple Avenue;New York;CA;90001;;123-456-7890;;vendor3@example.com;;;;;;;;9843af2e-edcd-47d6-bcfe-b2aa03fbf09b;9c42c566-a314-491b-b82d-b2aa03fbf08a;False;2025-03-24 18:34:02;;;
7a957520-5275-4b26-9302-b2aa03fbf0b5;Summit Holdings;001520250324VND;;Maple Avenue;Los Angeles;CA;60601;;111-222-3333;;vendor3@example.com;;;;;;;;9843af2e-edcd-47d6-bcfe-b2aa03fbf09b;63df7b02-d36e-4461-8613-b2aa03fbf08a;False;2025-03-24 18:34:02;;;
85a35fa3-482f-4e1f-b2de-b2aa03fbf0b5;Nova Innovations;000420250324VND;;Elm Street;New York;IL;73301;;123-456-7890;;vendor2@example.com;;;;;;;;9843af2e-edcd-47d6-bcfe-b2aa03fbf09b;9c42c566-a314-491b-b82d-b2aa03fbf08a;False;2025-03-24 18:34:02;;;
88dae3f0-615a-4cd9-8bed-b2aa03fbf0b5;Zenith Corporation;000720250324VND;;Broadway;Los Angeles;NY;60601;;555-123-4567;;vendor4@example.com;;;;;;;;957feeac-10a8-4c6b-84bf-b2aa03fbf09b;d5063932-1277-43a4-b644-b2aa03fbf08a;False;2025-03-24 18:34:02;;;
90732d7d-cdf4-4833-86b7-b2aa03fbf0b4;Quantum Industries;000120250324VND;;Broadway;Chicago;NY;73301;;987-654-3210;;vendor1@example.com;;;;;;;;9843af2e-edcd-47d6-bcfe-b2aa03fbf09b;5bd75420-7b26-4d60-9358-b2aa03fbf08a;False;2025-03-24 18:34:02;;;
98d24a46-4b82-4dde-a603-b2aa03fbf0b5;Spectrum Corporation;001720250324VND;;Maple Avenue;Chicago;IL;60601;;987-654-3210;;vendor2@example.com;;;;;;;;a0c28c17-d127-44c4-827d-b2aa03fbf09b;9c42c566-a314-491b-b82d-b2aa03fbf08a;False;2025-03-24 18:34:02;;;
a066bdd8-8e6d-4b8a-93f8-b2aa03fbf0b5;Horizon Enterprises;000320250324VND;;Elm Street;New York;CA;60601;;555-123-4567;;vendor3@example.com;;;;;;;;4c3edef6-2bf8-401b-848a-b2aa03fbf09b;cadf8cc4-89e6-4cd6-a0bd-b2aa03fbf08a;False;2025-03-24 18:34:02;;;
a7a02c95-acc8-4542-b57c-b2aa03fbf0b5;Genesis Corporation;001320250324VND;;Broadway;Chicago;NY;73301;;111-222-3333;;vendor2@example.com;;;;;;;;9843af2e-edcd-47d6-bcfe-b2aa03fbf09b;4a1f8402-2afd-4c15-a72d-b2aa03fbf08a;False;2025-03-24 18:34:02;;;
a8b9e999-d071-4491-a30c-b2aa03fbf0b5;Momentum Ventures;002020250324VND;;Broadway;Los Angeles;TX;73301;;987-654-3210;;vendor2@example.com;;;;;;;;957feeac-10a8-4c6b-84bf-b2aa03fbf09b;9c42c566-a314-491b-b82d-b2aa03fbf08a;False;2025-03-24 18:34:02;;;
b7bc2338-619f-4414-a7f7-b2aa03fbf0b5;Phoenix Holdings;000520250324VND;;Main Street;Chicago;TX;60601;;987-654-3210;;vendor2@example.com;;;;;;;;9843af2e-edcd-47d6-bcfe-b2aa03fbf09b;cadf8cc4-89e6-4cd6-a0bd-b2aa03fbf08a;False;2025-03-24 18:34:02;;;
cac72deb-5e36-470d-b6b2-b2aa03fbf0b5;Elysium Enterprises;001820250324VND;;Broadway;Chicago;CA;90001;;123-456-7890;;vendor2@example.com;;;;;;;;a0c28c17-d127-44c4-827d-b2aa03fbf09b;63df7b02-d36e-4461-8613-b2aa03fbf08a;False;2025-03-24 18:34:02;;;
cb688e4d-ed41-42ee-bd91-b2aa03fbf0b5;Cascade Enterprises;000920250324VND;;Broadway;Los Angeles;IL;90001;;111-222-3333;;vendor1@example.com;;;;;;;;4c3edef6-2bf8-401b-848a-b2aa03fbf09b;d5063932-1277-43a4-b644-b2aa03fbf08a;False;2025-03-24 18:34:02;;;
e1e13e2f-315b-42d1-8f59-b2aa03fbf0b5;Apex Ventures;000220250324VND;;Maple Avenue;Los Angeles;IL;10001;;555-123-4567;;vendor3@example.com;;;;;;;;9843af2e-edcd-47d6-bcfe-b2aa03fbf09b;4a1f8402-2afd-4c15-a72d-b2aa03fbf08a;False;2025-03-24 18:34:02;;;
e6c33822-803a-41ef-ad2b-b2aa03fbf0b5;Titan Group;000620250324VND;;Elm Street;New York;TX;60601;;555-123-4567;;vendor2@example.com;;;;;;;;957feeac-10a8-4c6b-84bf-b2aa03fbf09b;9c42c566-a314-491b-b82d-b2aa03fbf08a;False;2025-03-24 18:34:02;;;
