Id;Name;Description;IsDeleted;CreatedAtUtc;CreatedById;UpdatedAtUtc;UpdatedById
0fdab04e-8d91-4c2b-9779-b2aa03fbfdd2;Closing Crew;;False;2025-03-24 18:34:06;;;
16a148fd-43ec-4ed8-9935-b2aa03fbfdd2;Revenue Rockets;;False;2025-03-24 18:34:06;;;
3141d230-1d88-47ee-9721-b2aa03fbfdd2;Profit Pioneers;;False;2025-03-24 18:34:06;;;
54e21fc0-f101-4a3f-9d2b-b2aa03fbfdd2;The Trailblazers;;False;2025-03-24 18:34:06;;;
61b8d821-f160-426b-9727-b2aa03fbfdd2;Sales Ninjas;;False;2025-03-24 18:34:06;;;
ba4c358b-a997-4df2-b4c4-b2aa03fbfdd2;Growth Gurus;;False;2025-03-24 18:34:06;;;
e4e96285-88c8-49a0-b683-b2aa03fbfdd2;The Persuaders;;False;2025-03-24 18:34:06;;;
e55ebd5e-2201-45e1-8714-b2aa03fbfdd2;Sales Savants;;False;2025-03-24 18:34:06;;;
f1cb0a7d-1076-44c2-b826-b2aa03fbfdd2;Market Mavens;;False;2025-03-24 18:34:06;;;
f7d2c56c-9188-4a28-a240-b2aa03fbfdd2;Deal Makers;;False;2025-03-24 18:34:06;;;
