Id;Number;Title;Description;CompanyName;CompanyDescription;CompanyAddressStreet;CompanyAddressCity;CompanyAddressState;CompanyAddressZipCode;CompanyAddressCountry;CompanyPhoneNumber;CompanyFaxNumber;CompanyEmail;CompanyWebsite;CompanyWhatsApp;CompanyLinkedIn;CompanyFacebook;CompanyInstagram;CompanyTwitter;DateProspecting;DateClosingEstimation;DateClosingActual;AmountTargeted;AmountClosed;BudgetScore;AuthorityScore;NeedScore;TimelineScore;PipelineStage;ClosingStatus;ClosingNote;CampaignId;SalesTeamId;IsDeleted;CreatedAtUtc;CreatedById;UpdatedAtUtc;UpdatedById
01e8317c-cef7-4f6a-a461-b2aa03fc12d5;013220250324LEA;Lead from mai 2024;Lead description for mai 2024;Company Name 1836;Sample company description;123 Main St;Anytown;State;12345;Country;+1333-258-6076;+1529-888-3295;info6120@company.com;www.company6163.com;+1620-947-4040;linkedin.com/company3725;facebook.com/company4428;instagram.com/company6574;twitter.com/company2906;2024-05-05 00:00:00;2024-06-14 00:00:00;2024-06-19 00:00:00;340000;520000;70;80;90;40;Qualification;2;Sample closing note;f36145ff-1377-4a09-b67c-b2aa03fc00a0;e55ebd5e-2201-45e1-8714-b2aa03fbfdd2;False;2025-03-24 18:34:11;;;
029d09f2-9417-483e-8f07-b2aa03fc10bf;005520250324LEA;Lead from janvier 2025;Lead description for janvier 2025;Company Name 6331;Sample company description;123 Main St;Anytown;State;12345;Country;+1429-363-1606;+1167-103-2174;info1850@company.com;www.company9706.com;+1605-168-8360;linkedin.com/company5334;facebook.com/company6839;instagram.com/company4513;twitter.com/company8980;2025-01-03 00:00:00;2025-02-22 00:00:00;2025-03-04 00:00:00;640000;110000;20;90;30;80;Prospecting;0;Sample closing note;e5120cd5-9160-464e-b38f-b2aa03fc0089;ba4c358b-a997-4df2-b4c4-b2aa03fbfdd2;False;2025-03-24 18:34:11;;;
03c4b7c9-5aa4-4b25-8b3b-b2aa03fc11fa;010220250324LEA;Lead from août 2024;Lead description for août 2024;Company Name 6280;Sample company description;123 Main St;Anytown;State;12345;Country;+1613-616-7029;+1101-226-9656;info7987@company.com;www.company1181.com;+1807-183-8056;linkedin.com/company1277;facebook.com/company5626;instagram.com/company5261;twitter.com/company4906;2024-08-10 00:00:00;2024-10-27 00:00:00;2024-10-17 00:00:00;490000;860000;50;20;80;30;Qualification;0;Sample closing note;ec0ebda0-a35f-48c9-895f-b2aa03fc00ac;0fdab04e-8d91-4c2b-9779-b2aa03fbfdd2;False;2025-03-24 18:34:11;;;
06e07839-253c-4cf0-9f8e-b2aa03fc1101;006520250324LEA;Lead from août 2024;Lead description for août 2024;Company Name 3268;Sample company description;123 Main St;Anytown;State;12345;Country;+1830-582-6336;+1346-417-1654;info3605@company.com;www.company6648.com;+1483-748-8100;linkedin.com/company3132;facebook.com/company8356;instagram.com/company1476;twitter.com/company6672;2024-08-25 00:00:00;2024-11-04 00:00:00;2024-11-01 00:00:00;510000;670000;70;100;50;90;Prospecting;2;Sample closing note;8de6a113-8227-4bde-9091-b2aa03fc00ea;e4e96285-88c8-49a0-b683-b2aa03fbfdd2;False;2025-03-24 18:34:11;;;
07731a2d-4f2a-4083-8f48-b2aa03fc16fc;028820250324LEA;Lead from mai 2024;Lead description for mai 2024;Company Name 7442;Sample company description;123 Main St;Anytown;State;12345;Country;+1499-593-5385;+1450-375-1899;info9637@company.com;www.company6644.com;+1447-376-2777;linkedin.com/company1053;facebook.com/company1724;instagram.com/company9414;twitter.com/company3807;2024-05-25 00:00:00;2024-08-04 00:00:00;2024-08-08 00:00:00;660000;520000;70;20;50;40;Negotiation;2;Sample closing note;8670ed91-00ec-4e90-8d06-b2aa03fc00e6;61b8d821-f160-426b-9727-b2aa03fbfdd2;False;2025-03-24 18:34:12;;;
082f0d03-1b4c-405d-8c80-b2aa03fc1273;011920250324LEA;Lead from novembre 2024;Lead description for novembre 2024;Company Name 7633;Sample company description;123 Main St;Anytown;State;12345;Country;+1243-756-8928;+1686-944-1645;info9848@company.com;www.company2413.com;+1569-332-2635;linkedin.com/company2017;facebook.com/company2996;instagram.com/company9979;twitter.com/company3885;2024-11-19 00:00:00;2025-01-14 00:00:00;2025-01-22 00:00:00;80000;290000;100;40;30;80;Qualification;2;Sample closing note;8de6a113-8227-4bde-9091-b2aa03fc00ea;e55ebd5e-2201-45e1-8714-b2aa03fbfdd2;False;2025-03-24 18:34:11;;;
08c9a127-c87f-4543-8eb7-b2aa03fc162e;025620250324LEA;Lead from juin 2024;Lead description for juin 2024;Company Name 6791;Sample company description;123 Main St;Anytown;State;12345;Country;+1709-626-2507;+1940-303-4909;info6298@company.com;www.company9816.com;+1986-122-4226;linkedin.com/company3874;facebook.com/company4811;instagram.com/company9282;twitter.com/company1296;2024-06-27 00:00:00;2024-08-11 00:00:00;2024-08-09 00:00:00;180000;760000;20;90;30;20;Proposal;2;Sample closing note;d3fcb4c4-4f01-474f-a387-b2aa03fc00d3;16a148fd-43ec-4ed8-9935-b2aa03fbfdd2;False;2025-03-24 18:34:12;;;
09215d24-83da-4a05-879f-b2aa03fc16f6;028720250324LEA;Lead from décembre 2024;Lead description for décembre 2024;Company Name 4874;Sample company description;123 Main St;Anytown;State;12345;Country;+1781-345-3712;+1867-130-7403;info1935@company.com;www.company1249.com;+1682-345-8244;linkedin.com/company1675;facebook.com/company8638;instagram.com/company4930;twitter.com/company2512;2024-12-24 00:00:00;2025-03-05 00:00:00;2025-03-11 00:00:00;690000;420000;80;60;50;50;Negotiation;1;Sample closing note;3312e42a-89aa-4a3b-a028-b2aa03fc003f;e55ebd5e-2201-45e1-8714-b2aa03fbfdd2;False;2025-03-24 18:34:12;;;
0a4cda07-964b-4c80-9131-b2aa03fc14bd;020020250324LEA;Lead from octobre 2024;Lead description for octobre 2024;Company Name 3177;Sample company description;123 Main St;Anytown;State;12345;Country;+1486-796-4009;+1962-357-2175;info7414@company.com;www.company8238.com;+1451-507-6938;linkedin.com/company7715;facebook.com/company5798;instagram.com/company8565;twitter.com/company8437;2024-10-01 00:00:00;2024-11-04 00:00:00;2024-11-05 00:00:00;190000;640000;90;60;80;90;NeedAnalysis;2;Sample closing note;33cf30d9-b070-4130-9506-b2aa03fc0077;61b8d821-f160-426b-9727-b2aa03fbfdd2;False;2025-03-24 18:34:12;;;
0b60e8ab-e560-4536-825a-b2aa03fc121b;010720250324LEA;Lead from mars 2025;Lead description for mars 2025;Company Name 1873;Sample company description;123 Main St;Anytown;State;12345;Country;+1445-292-3046;+1524-854-3617;info2555@company.com;www.company8014.com;+1168-107-5899;linkedin.com/company7695;facebook.com/company6195;instagram.com/company6249;twitter.com/company4569;2025-03-22 00:00:00;2025-04-25 00:00:00;2025-04-30 00:00:00;70000;590000;90;50;60;80;Qualification;2;Sample closing note;f70ece64-ca24-4c67-b019-b2aa03fc009b;f1cb0a7d-1076-44c2-b826-b2aa03fbfdd2;False;2025-03-24 18:34:11;;;
0b6c701b-8c88-48c2-9ca5-b2aa03fc107b;004320250324LEA;Lead from juillet 2024;Lead description for juillet 2024;Company Name 9734;Sample company description;123 Main St;Anytown;State;12345;Country;+1619-860-3475;+1856-104-9054;info1924@company.com;www.company1336.com;+1586-587-2797;linkedin.com/company7534;facebook.com/company1357;instagram.com/company3152;twitter.com/company8841;2024-07-01 00:00:00;2024-09-06 00:00:00;2024-08-28 00:00:00;550000;490000;60;20;40;70;Prospecting;0;Sample closing note;f36145ff-1377-4a09-b67c-b2aa03fc00a0;3141d230-1d88-47ee-9721-b2aa03fbfdd2;False;2025-03-24 18:34:10;;;
0d9cee48-1188-48fb-b5f3-b2aa03fc1824;033420250324LEA;Lead from novembre 2024;Lead description for novembre 2024;Company Name 5246;Sample company description;123 Main St;Anytown;State;12345;Country;+1732-896-3155;+1927-361-9504;info6089@company.com;www.company6214.com;+1434-462-1644;linkedin.com/company6617;facebook.com/company7674;instagram.com/company7969;twitter.com/company3712;2024-11-07 00:00:00;2025-01-05 00:00:00;2025-01-10 00:00:00;700000;150000;80;30;20;50;Closed;2;Sample closing note;c028eae2-984e-470e-bbda-b2aa03fc00d7;f1cb0a7d-1076-44c2-b826-b2aa03fbfdd2;False;2025-03-24 18:34:12;;;
0e29f0e5-27c0-4630-b33b-b2aa03fc1467;018920250324LEA;Lead from septembre 2024;Lead description for septembre 2024;Company Name 3497;Sample company description;123 Main St;Anytown;State;12345;Country;+1685-317-3360;+1966-133-4066;info9689@company.com;www.company9721.com;+1153-935-7064;linkedin.com/company2511;facebook.com/company9651;instagram.com/company4724;twitter.com/company8010;2024-09-16 00:00:00;2024-11-08 00:00:00;2024-11-18 00:00:00;520000;640000;30;60;10;20;NeedAnalysis;0;Sample closing note;f36145ff-1377-4a09-b67c-b2aa03fc00a0;61b8d821-f160-426b-9727-b2aa03fbfdd2;False;2025-03-24 18:34:11;;;
